,Date,Country,City,Specie,count,min,max,median,variance
131,09/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,27.5,41.67
132,20/01/2021,VN,Ho Chi Minh City,temperature,16,21.5,31.0,24.5,131.67
133,04/02/2020,VN,Ho Chi Minh City,temperature,24,22.0,34.5,26.0,139.78
134,20/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.5,28.0,82.5
135,28/04/2020,VN,Ho Chi Minh City,temperature,24,25.5,36.0,28.0,115.63
136,14/01/2021,VN,Ho Chi Minh City,temperature,24,18.5,29.5,25.0,120.27
137,07/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,35.5,30.5,58.03
138,03/09/2020,VN,Ho Chi Minh City,temperature,24,25.5,33.0,30.0,78.04
139,01/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,27.5,50.86
140,19/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.0,54.71
141,08/12/2020,VN,Ho Chi Minh City,temperature,24,23.0,32.0,27.0,85.85
142,17/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,70.87
143,18/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,28.0,89.06
144,01/04/2020,VN,Ho Chi Minh City,temperature,24,27.5,35.0,29.0,72.17
145,19/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.5,29.0,74.33
146,10/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.5,26.0,31.01
147,17/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.0,26.0,23.58
148,03/01/2021,VN,Ho Chi Minh City,temperature,24,22.0,32.0,26.5,98.24
149,03/03/2020,VN,Ho Chi Minh City,temperature,4,27.0,27.0,27.0,0.0
150,15/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.0,46.07
151,25/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.5,26.0,38.97
152,14/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.0,73.41
153,23/04/2020,VN,Ho Chi Minh City,temperature,24,29.0,37.0,30.5,87.82
154,20/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,80.14
155,05/09/2020,VN,Ho Chi Minh City,temperature,24,25.5,32.5,27.0,48.68
